Rank,NCT Number,Title,Acronym,Status,Study Results,Conditions,Interventions,Outcome Measures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,Funded Bys,Study Type,Study Designs,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents,URL
31,NCT04403672,Performance Evaluation of RealDetect™ COVID-19 RT-PCR Kit for the Detection of SARS-CoV-2 Virus,,Recruiting,No Results Available,High Sensitivity and Specificity (With 95% Confidence Interval) of RealDetect™ COVID-19 RT-PCR Kit,Device: performance evaluation study of RealDetect RT-PCR Kit for COVID-19 detection,Performance evaluation of RealDetect™ COVID-19 RT-PCR kit|Reduce the price of RT-PCR based COVID-19 diagnostic test kits.,Bangladesh Medical Research Council (BMRC),All,"5 Years to 65 Years   (Child, Adult, Older Adult)",,120,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,30005052020,18-May-20,24-Jul-20,24-Jul-20,27-May-20,,28-May-20,"Institute of Epidemiology, Disease Control and Research (IEDCR), Mohakhali, Dhaka (For sample collection & sample storage), Institute for Developing Science & Health Initiatives (ideSHi); Mohakhali, Dhaka (For sample analysis, data collection, data analys, Dhaka, Bangladesh",,https://ClinicalTrials.gov/show/NCT04403672
32,NCT04363099,Multicentre Observational Study on Management COVID 19 Positive Outpatients in a French Cluster.,COVID AMBU 60,Recruiting,No Results Available,Covid-19,Other: observational,clinical description of covid 19 ambulatory cases.|Biological and radiological description of ambulatory cases|Prevalence of positive cases (PCR and/or serological positive),Maison de Sante Pluridisciplinaire de Creil,All,"up to 99 Years   (Child, Adult, Older Adult)",,1000,Other,Observational,Observational Model: Cohort|Time Perspective: Other,2020-A01059-30,1-Mar-20,30-Jun-20,31-Dec-20,27-Apr-20,,27-Apr-20,"Msp de Creil, Creil, France",,https://ClinicalTrials.gov/show/NCT04363099
33,NCT04377425,COVID-19 Prevalence and Cognitive Deficits in Neurological Patients,Neuro-Covid,Withdrawn,No Results Available,"Neurological Diseases or Conditions|Stroke, Acute|Seizure Disorder",Diagnostic Test: COVID-19 swap test PCR,Prevalence of COVID-19 infection in consecutive patients with neurological symptoms|Three months cognitive function of COVID-19 positive patients|Clinical presentation of neurological symptoms in COVID-19 positive patients|Prevalence of pre- and asymptomatic COVID-19 positive patients in acutely admitted neurological patients|Anosmia in COVID-19 positive patients|Exploratory analysis on neuro-specific and inflammatory blood and cerebrospinal fluid markers of COVID-19 infection|Exploratory analysis of the coagulation profile of COVID-19 positive patients compared to COVID-19neg patients,Aarhus University Hospital,All,"18 Years and older   (Adult, Older Adult)",,0,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,Neuro-Covid-19,7-May-20,29-Nov-20,30-Jun-22,6-May-20,,3-Sep-20,"Aalborg University Hospital, Aalborg, DK, Denmark|Aarhus University Hospital, Aarhus, DK, Denmark|Regional Hospital West Jutland, Hostebro, Holstebro, DK, Denmark|Regional Hospital Central Jutland, Viborg, Viborg, DK, Denmark",,https://ClinicalTrials.gov/show/NCT04377425
34,NCT04602871,Early Detection of COVID-19 Using Breath Analysis - Feasibility Study,COVID-19,Completed,No Results Available,Covid19,Diagnostic Test: Breath Biopsy,Correlation between Volatile Organic Compounds pattern in-breath biopsy and COVID-19 detection.|Correlation between Volatile Organic Compounds pattern and the course of the disease,Scentech Medical Technologies Ltd,All,"18 Years to 75 Years   (Adult, Older Adult)",Not Applicable,108,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,Cov-2-2020,3-Jul-20,30-Jan-21,30-Jan-21,26-Oct-20,,13-Apr-21,"Soroka Medical Center, Be'er Sheva, Israel|Meir Medical Center, Kfar Saba, Israel",,https://ClinicalTrials.gov/show/NCT04602871
35,NCT04691895,Gastrointestinal Symptoms in COVID-19,,"Active, not recruiting",No Results Available,COVID19 Disease,Other: SARS-CoV2 infection,Prevalence of gastrointestinal symptoms in patients admitted to hospital for COVID19 disease as assessed by GSRS questionnaire|Prognosis of gastrointestinal symptoms in patients admitted to hospital for COVID19 disease|Long term consequences of COVID-19 on gastrointestinal symptoms on the development of post-infection (PI) irritable bowel syndrome (IBS).|long term consequences of COVID-19 on gastrointestinal symptoms on the development of post-infection (PI) dyspepsia.|Identification of risk factors for post-infection gastrointestinal symptom development.,University of Bologna,All,"18 Years to 85 Years   (Adult, Older Adult)",,2000,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,GI-COVID19_01,1-May-20,30-Sep-20,31-Dec-21,31-Dec-20,,5-Jan-21,"IRCCS Azienda Ospedaliero-Universitaria di Bologna, Bologna, Italy",,https://ClinicalTrials.gov/show/NCT04691895
36,NCT04645498,COVID-19 and Hereditary Metabolic Diseases,COVID19-MHM,Not yet recruiting,No Results Available,"Covid19|Metabolism, Inborn Errors",,Frequency of MHM imbalance triggered by COVID-19|Number of COVID-19 patients in Gaucher's disease|Number of COVID-19 patients in Urea Cycle Disorder|Severity of COVID-19 infection,"University Hospital, Lille",All,"Child, Adult, Older Adult",,77,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2020_52|2020-A02886-33,Jan-21,Jan-23,Jan-23,27-Nov-20,,27-Nov-20,,,https://ClinicalTrials.gov/show/NCT04645498
37,NCT04747821,An Effectiveness Study of the Sinovac's Adsorbed COVID-19 (Inactivated) Vaccine,Projeto S,"Active, not recruiting",No Results Available,Covid19,Biological: Adsorbed COVID-19 (Inactivated) Vaccine,Incidence of COVID-19 cases after two-doses immunization schedule in clusters in the first quarter of study|Incidence of COVID-19 cases after two-doses immunization schedule in clusters up to one year of study|Incidence of COVID-19 cases after two-doses immunization schedule in clusters according to immunization status|Incidence of COVID-19 cases after two-doses immunization schedule in clusters according to pre-existing SARS-CoV-2 antibodies|Incidence of COVID-19 cases after two-doses immunization schedule in clusters according to immunization coverage|Incidence of hospitalization and death due to COVID-19 after two-doses immunization schedule in clusters|Change in average number of reported COVID-19 cases in the study area in comparison to other neighboring cities|Medically-attended adverse reactions to the study vaccine|Frequency of severe COVID-19 cases|Frequency of adverse events of special interest after immunization|Acceptability of the study vaccine|Adherence to vaccination schedule,Butantan Institute,All,"18 Years and older   (Adult, Older Adult)",Phase 4,27711,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention,COV-04-IB,7-Feb-21,May-21,Feb-22,10-Feb-21,,8-Apr-21,"Hospital Estadual de Serrana, Serrana, SP, Brazil",,https://ClinicalTrials.gov/show/NCT04747821
38,NCT04372004,Comparison of the Efficacy of Rapid Tests to Identify COVID-19 Infection (CATCh COVID-19),CATCH COVID-19,Recruiting,No Results Available,COVID-19,Diagnostic Test: diagnostic tests for COVID-19 infection,detection of viral infection using serology and viral-RNA detection kits|Temporal trend of antibodies in blood,Texas Cardiac Arrhythmia Research Foundation,All,"18 Years to 85 Years   (Adult, Older Adult)",Phase 1,100,Other,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic,TCAI_CATCH COVID-19,8-May-20,May-21,Jun-21,1-May-20,,11-Aug-20,"Texas Cardiac Arrhythmia Institute, Austin, Texas, United States",,https://ClinicalTrials.gov/show/NCT04372004
39,NCT04377685,Prediction of Clinical Course in COVID19 Patients,COVID-CTPRED,Recruiting,No Results Available,COVID 19,Other: CT-Scan,diagnostic of COVID disease composite,"Centre Hospitalier Universitaire de Saint Etienne|Institut National des Sciences Appliquées (INSA)|Institut National de la Santé Et de la Recherche Médicale, France|Centre National pour le Recherche Scientifique (CNRS)|Université de Lyon|Université Jean Monnet",All,"18 Years and older   (Adult, Older Adult)",,800,Other,Observational,Observational Model: Cohort|Time Perspective: Retrospective,20CH109|IRBN652020/CHUSTE,1-Mar-20,30-Jun-21,30-Jun-21,6-May-20,,19-Jan-21,"Chu Saint-Etienne, Saint-Étienne, France",,https://ClinicalTrials.gov/show/NCT04377685
40,NCT04717011,Case Series Study to Detect SARS-CoV-2 in Semen of COVID-19 Patients,COVID-19CAST,Recruiting,No Results Available,SARS-CoV-2,Diagnostic Test: PCR test,SARS-CoV-2 semen result,Igenomix,Male,"18 Years to 65 Years   (Adult, Older Adult)",,100,Industry,Observational,Observational Model: Case-Only|Time Perspective: Prospective,IGX1-COV-NA-20-05,Feb-21,Jul-21,Jul-21,20-Jan-21,,10-Feb-21,"Hospital Ruber Internacional, Madrid, Spain",,https://ClinicalTrials.gov/show/NCT04717011
41,NCT04412486,COVID-19 Convalescent Plasma (CCP) Transfusion,,Recruiting,No Results Available,COVID-19,Biological: COVID Convalescent Plasma,Change in PaO2/FiO2 after CCP transfusion.|Change in pulse oximetry status after CCP transfusion.|Change in aO2 after CCP transfusion.|Change in respiratory rate after CCP transfusion.|Change in intubation status after CCP transfusion.|Change in Sequential Organ Failure Assessment (SOFA).|Change in 8-point ordinal clinical deterioration scale.|Length of ICU/hospital stay.|Development of plasma transfusion reactions.|Development of immune complex disorders.|Change in anti CoV-2 IgM and IgG levels.,"Gailen D. Marshall Jr., MD PhD|University of Mississippi Medical Center",All,"18 Years and older   (Adult, Older Adult)",Early Phase 1,100,Other,Interventional,Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,2020-0137,1-Jun-20,31-May-22,31-May-22,2-Jun-20,,2-Jul-20,"University of Mississippi Medical Center, Jackson, Mississippi, United States",,https://ClinicalTrials.gov/show/NCT04412486
42,NCT04581135,Study to Investigate Long-term Pulmonary and Extrapulmonary Effects of COVID-19,,Recruiting,No Results Available,COVID-19,Other: COVID-19,Pulmonary follow-up sequelae in patients after COVID-19|Evaluation of risk factors for adverse Outcome after COVID-19|Compare the functional Pulmonary outcome of COVID-19 disease|Compare the radiological Pulmonary outcome of COVID-19 disease|Quality of Life after COVID-19|Physical performance after COVID-19 using Clinical Frailty Scale|Physical performance after COVID-19 using frailty assessment tests|Microbiota and COVID-19,"University Hospital Inselspital, Berne",All,"18 Years and older   (Adult, Older Adult)",,500,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2020-00799,1-May-20,30-Apr-23,1-Jun-23,9-Oct-20,,9-Oct-20,"St. Claraspital AG - Department of Pulmonary Medicine, Basel, Switzerland|Universtiy Hospital Bern (Inselspital), Department of Pulmonary Medicine - Lead Center, Bern, Switzerland|University and Hospital of Fribourg, Fribourg, Switzerland|Hôpitaux Universitaires de Genève - Service de Pneumologie, Genève, Switzerland|CHUV - Service de Pneumologie, Lausanne, Switzerland|Clinica Moncucco, Lugano, Switzerland|Hôpital du Valais - Service de Pneumologie, Sion, Switzerland|Kantonspital St. Gallen - Klinik für Pneumologie und Schlafmedizin Lungenzentrum, St. Gallen, Switzerland|Universitätsspital Zürich - Klinik für Pneumologie, Zürich, Switzerland",,https://ClinicalTrials.gov/show/NCT04581135
43,NCT04387968,"Epidemiological Study of the Covid-19 Presto Test - The ""COVIDOR"" Study",COVIDOR,Recruiting,No Results Available,Coronavirus Infection,Diagnostic Test: Covid-19 presto test,"Study the prevalence of Covid-19 infection, coronavirus (SARS coronavirus-2) in territorial agents in the 3 structures : CCTVL, Loire Valley Region Centre, Orleans Metropolitan city|Determine if there is a relationship between the profession carried out by the agents of the territorial community of Orleans metropolitan city, the Loire Valley Region, the CCTVL and contamination by covid-19","Raphael Serreau|François Rabelais University|Assistance Publique - Hôpitaux de Paris|University Hospital, Paris|Orléans Métropole Service de Médecine Préventive",All,"18 Years to 65 Years   (Adult, Older Adult)",,5000,Other,Observational,Observational Model: Ecologic or Community|Time Perspective: Prospective,2020-A01414-35,24-Aug-20,24-Mar-21,24-Mar-21,14-May-20,,9-Dec-20,"Unité de Recherche PARADICT-O - Service de Médecine - Orléans Métropole, Orléans, France|Unité de Recherche PARADICT-O - Service de Médecine - Orléans Métropole, Orléans, France",,https://ClinicalTrials.gov/show/NCT04387968
44,NCT04845048,Active Pharmacovigilance Study of Adsorbed COVID-19 (Inactivated) Vaccine,,Not yet recruiting,No Results Available,Covid19,Biological: Adsorbed COVID-19 (Inactivated) Vaccine,Incidence of adverse events after receiving the Adsorbed COVID-19 (inactivated) Vaccine|Reactogenicity of Adsorbed COVID-19 (inactivated) Vaccine|Safety of Adsorbed COVID-19 (inactivated) Vaccine|safety of Adsorbed COVID-19 (inactivated) Vaccine,Butantan Institute,All,"18 Years and older   (Adult, Older Adult)",,900,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,CFV-01-IB,Apr-21,Sep-21,Nov-21,14-Apr-21,,14-Apr-21,"Centro de Saúde Escola da Faculdade de Medicina de Botucatu - Unesp., Botucatu, São Paulo, Brazil|Centro de Saúde Escola da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo (HCFMRP-USP) Dr. Joel Domingos Machado., Ribeirão Preto, São Paulo, Brazil|Centro de Referência de Imunobiológicos Especiais. Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (CRIEHCFMUSP), São Paulo, Brazil",,https://ClinicalTrials.gov/show/NCT04845048
45,NCT04490837,Rapid Diagnostic Test for COVID-19 Based on Antibody Detection (YCOVID),YCOVID,"Active, not recruiting",No Results Available,Covid-19,Diagnostic Test: ELISA and Rapid test to detect antibodies against COVID-19,IgG anti-COVID-19|IgM anti-COVID-19|IgA anti-COVID-19|Time of onset symptoms|COVID-19 PCR results|Radiological studies,Corporacion Parc Tauli,All,"18 Years and older   (Adult, Older Adult)",,3500,Other,Observational,Observational Model: Case-Control|Time Perspective: Prospective,2020/587,22-Jun-20,31-Jul-20,30-Sep-20,29-Jul-20,,29-Jul-20,"Parc Tauli University Hospital, Sabadell, Barcelona, Spain",,https://ClinicalTrials.gov/show/NCT04490837
46,NCT04834908,Evaluation of Equine Antibody Treatment in Patients With COVID 19 Infection,PROTECT,Not yet recruiting,No Results Available,SARS-CoV-2 Infection,Biological: Equine COVID-19 Antiserum|Drug: Standard of care,Phase 1 Unexpected serious adverse events|Phase 2 Patients turning COVID-19 negative (RT-PCR negative)|Phase 2 Patients turning COVID-19 negative (RT-PCR Negative)|Phase 1 Patients turning COVID-19 negative (RT-PCR Negative)|Phase 1 Exploratory outcome|Phase 1-Exploratory outcome|Phase 1- Exploratory outcome|Phase 2 Unexpected serious adverse events|Phase 2 Change in WHO clinical progression scale,Bharat Serums and Vaccines Limited,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1|Phase 2,160,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,BSV_EQ-AB_20_08,May-21,Mar-22,Sep-22,8-Apr-21,,8-Apr-21,,,https://ClinicalTrials.gov/show/NCT04834908
47,NCT04730401,Convalescent Plasma in the Treatment of Covid-19,CP_COVID-19,Recruiting,No Results Available,Covid19,Biological: Convalescent plasma from COVID-19 donors|Biological: Placebo,Safety (SAE)|Rate of intubation|Number of participants initiating systemic corticosteroids|Hospital stay|Mortality|ICU stay|Ventilator days|Severity of respiratory failure|Viral load|Antibody measurements|Thrombotic complication|The rate of participants presenting with coagulopathy disorders|Number of participants with laboratory change|Adverse effects|Convalescent plasma efficacy|Convalescent plasma high vs low titer efficacy|Convalescent plasma efficacy according to donor status,Helsinki University Central Hospital|Finnish Red Cross,All,"18 Years and older   (Adult, Older Adult)",Phase 2,390,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",Plasma_Covid-19,27-Jan-21,31-Aug-21,31-Dec-21,29-Jan-21,,8-Mar-21,"Helsinki University Central Hospital, Helsinki, Uusimaa, Finland",,https://ClinicalTrials.gov/show/NCT04730401
48,NCT04799444,LATE-COVID/LATE-COVID-Kids - Observational Study in Children and Adults,LATE-COVID,Recruiting,No Results Available,Covid19,,Number of participants with severe post-COVID-19 complications|Factors related to the severity of post-COVID-19 complications,Polish Mother Memorial Hospital Research Institute,All,"Child, Adult, Older Adult",,500,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,LATE-COVID,1-Oct-20,30-Jun-22,30-Jun-22,16-Mar-21,,16-Mar-21,"Polish Mother Memorial Research Institute (PMMHRI) in Lodz, Poland, Lodz, Poland",,https://ClinicalTrials.gov/show/NCT04799444
49,NCT04425707,Ivermectin In Treatment of COVID 19 Patients,,Recruiting,No Results Available,Covid19,Drug: Ivermectin,to evaluate the role of Ivermectin as a line of treatment for COVID 19|To asses the rate of viral clearance in comparison to other treatment protocols.,"Ministry of Health and Population, Egypt",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,100,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,14-2020/3,9-Jun-20,1-Jul-20,1-Sep-20,11-Jun-20,,11-Jun-20,"isolation and referal hospitals for COVID 19 patients, Cairo, Egypt",,https://ClinicalTrials.gov/show/NCT04425707
50,NCT04356560,COVID-19 Surveillance of Patients and Healthcare Workers in a Hospital Department,,Enrolling by invitation,No Results Available,COVID-19,"Diagnostic Test: COVID-19 test, polymerase chain reaction for SARS-CoV-2",Incidence of healthcare workers with SARS-CoV-2|Incidence of ENT patients with SARS-CoV-2|Development of SARS-CoV-2 antibodies among healthcare workers|Sensitivity and specificity of a COVID-19 screening symptom questionnaire among healthcare workers|SARS CoV-2 and bacterial super infections in upper respiratory airways,"Rigshospitalet, Denmark",All,"Child, Adult, Older Adult",,300,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,DT P-2020-353,23-Mar-20,30-Sep-20,31-Dec-20,22-Apr-20,,24-Apr-20,"Rigshospitalet University Hospital of Copenhagen, Copenhagen, Denmark",,https://ClinicalTrials.gov/show/NCT04356560
